filepath,class_raw,label,label_idx
data/raw/data/train/Mildew/mildew_1057.png,Mildew,Mildew,8
data/raw/data/train/Brown Rust/brown_rust_535.png,Brown Rust,Brown_Rust,3
data/raw/data/train/Fusarium Head Blight/fusarium_head_blight_287.png,Fusarium Head Blight,Fusarium_Head_Blight,5
data/raw/data/train/Mildew/mildew_924.png,Mildew,Mildew,8
data/raw/data/train/Yellow Rust/yellow_rust_978.png,Yellow Rust,Yellow_Rust,14
data/raw/data/train/Tan spot/tan_spot_656.png,Tan spot,Tan_spot,13
data/raw/data/train/Aphid/aphid_560.png,Aphid,Aphid,0
data/raw/data/train/Leaf Blight/leaf_blight_59.png,Leaf Blight,Leaf_Blight,7
data/raw/data/train/Leaf Blight/leaf_blight_636.png,Leaf Blight,Leaf_Blight,7
data/raw/data/train/Stem fly/stem_fly_4.png,Stem fly,Stem_fly,12
data/raw/data/train/Black Rust/black_rust_125.png,Black Rust,Black_Rust,1
data/raw/data/train/Brown Rust/brown_rust_630.png,Brown Rust,Brown_Rust,3
data/raw/data/train/Leaf Blight/leaf_blight_363.png,Leaf Blight,Leaf_Blight,7
data/raw/data/train/Septoria/septoria_878.png,Septoria,Septoria,10
data/raw/data/train/Healthy/healthy_672.png,Healthy,Healthy,6
data/raw/data/train/Yellow Rust/yellow_rust_777.png,Yellow Rust,Yellow_Rust,14
data/raw/data/train/Mite/mite_503.png,Mite,Mite,9
data/raw/data/train/Mildew/mildew_959.png,Mildew,Mildew,8
data/raw/data/train/Smut/smut_1006.png,Smut,Smut,11
data/raw/data/train/Smut/smut_326.png,Smut,Smut,11
data/raw/data/train/Common Root Rot/common_root_rot_405.png,Common Root Rot,Common_Root_Rot,4
data/raw/data/train/Septoria/septoria_105.png,Septoria,Septoria,10
data/raw/data/train/Blast/blast_357.png,Blast,Blast,2
data/raw/data/train/Stem fly/stem_fly_194.png,Stem fly,Stem_fly,12
data/raw/data/train/Leaf Blight/leaf_blight_298.png,Leaf Blight,Leaf_Blight,7
data/raw/data/train/Healthy/healthy_416.png,Healthy,Healthy,6
data/raw/data/train/Leaf Blight/leaf_blight_591.png,Leaf Blight,Leaf_Blight,7
data/raw/data/train/Leaf Blight/leaf_blight_272.png,Leaf Blight,Leaf_Blight,7
data/raw/data/train/Brown Rust/brown_rust_1095.png,Brown Rust,Brown_Rust,3
data/raw/data/train/Septoria/septoria_729.png,Septoria,Septoria,10
data/raw/data/train/Mildew/mildew_997.png,Mildew,Mildew,8
data/raw/data/train/Leaf Blight/leaf_blight_448.png,Leaf Blight,Leaf_Blight,7
data/raw/data/train/Brown Rust/brown_rust_880.png,Brown Rust,Brown_Rust,3
data/raw/data/train/Aphid/aphid_206.png,Aphid,Aphid,0
data/raw/data/train/Yellow Rust/yellow_rust_791.png,Yellow Rust,Yellow_Rust,14
data/raw/data/train/Smut/smut_1197.png,Smut,Smut,11
data/raw/data/train/Healthy/healthy_299.png,Healthy,Healthy,6
data/raw/data/train/Blast/blast_372.png,Blast,Blast,2
data/raw/data/train/Aphid/aphid_3.png,Aphid,Aphid,0
data/raw/data/train/Brown Rust/brown_rust_265.png,Brown Rust,Brown_Rust,3
data/raw/data/train/Brown Rust/brown_rust_634.png,Brown Rust,Brown_Rust,3
data/raw/data/train/Healthy/healthy_505.png,Healthy,Healthy,6
data/raw/data/train/Brown Rust/brown_rust_483.png,Brown Rust,Brown_Rust,3
data/raw/data/train/Tan spot/tan_spot_33.png,Tan spot,Tan_spot,13
data/raw/data/train/Fusarium Head Blight/fusarium_head_blight_209.png,Fusarium Head Blight,Fusarium_Head_Blight,5
data/raw/data/train/Mildew/mildew_519.png,Mildew,Mildew,8
data/raw/data/train/Mite/mite_427.png,Mite,Mite,9
data/raw/data/train/Common Root Rot/common_root_rot_596.png,Common Root Rot,Common_Root_Rot,4
data/raw/data/train/Mite/mite_563.png,Mite,Mite,9
data/raw/data/train/Septoria/septoria_239.png,Septoria,Septoria,10
data/raw/data/train/Smut/smut_731.png,Smut,Smut,11
data/raw/data/train/Common Root Rot/common_root_rot_254.png,Common Root Rot,Common_Root_Rot,4
data/raw/data/train/Black Rust/black_rust_66.png,Black Rust,Black_Rust,1
data/raw/data/train/Brown Rust/brown_rust_889.png,Brown Rust,Brown_Rust,3
data/raw/data/train/Yellow Rust/yellow_rust_524.png,Yellow Rust,Yellow_Rust,14
data/raw/data/train/Blast/blast_226.png,Blast,Blast,2
data/raw/data/train/Brown Rust/brown_rust_643.png,Brown Rust,Brown_Rust,3
data/raw/data/train/Fusarium Head Blight/fusarium_head_blight_234.png,Fusarium Head Blight,Fusarium_Head_Blight,5
data/raw/data/train/Yellow Rust/yellow_rust_67.png,Yellow Rust,Yellow_Rust,14
data/raw/data/train/Brown Rust/brown_rust_923.png,Brown Rust,Brown_Rust,3
data/raw/data/train/Yellow Rust/yellow_rust_511.png,Yellow Rust,Yellow_Rust,14
data/raw/data/train/Fusarium Head Blight/fusarium_head_blight_169.png,Fusarium Head Blight,Fusarium_Head_Blight,5
data/raw/data/train/Yellow Rust/yellow_rust_503.png,Yellow Rust,Yellow_Rust,14
data/raw/data/train/Aphid/aphid_468.png,Aphid,Aphid,0
data/raw/data/train/Mildew/mildew_948.png,Mildew,Mildew,8
data/raw/data/train/Leaf Blight/leaf_blight_466.png,Leaf Blight,Leaf_Blight,7
data/raw/data/train/Yellow Rust/yellow_rust_439.png,Yellow Rust,Yellow_Rust,14
data/raw/data/train/Healthy/healthy_312.png,Healthy,Healthy,6
data/raw/data/train/Leaf Blight/leaf_blight_89.png,Leaf Blight,Leaf_Blight,7
data/raw/data/train/Tan spot/tan_spot_485.png,Tan spot,Tan_spot,13
data/raw/data/train/Brown Rust/brown_rust_628.png,Brown Rust,Brown_Rust,3
data/raw/data/train/Brown Rust/brown_rust_1267.png,Brown Rust,Brown_Rust,3
data/raw/data/train/Tan spot/tan_spot_110.png,Tan spot,Tan_spot,13
data/raw/data/train/Tan spot/tan_spot_514.png,Tan spot,Tan_spot,13
data/raw/data/train/Healthy/healthy_933.png,Healthy,Healthy,6
data/raw/data/train/Mildew/mildew_927.png,Mildew,Mildew,8
data/raw/data/train/Common Root Rot/common_root_rot_437.png,Common Root Rot,Common_Root_Rot,4
data/raw/data/train/Yellow Rust/yellow_rust_574.png,Yellow Rust,Yellow_Rust,14
data/raw/data/train/Smut/smut_1186.png,Smut,Smut,11
data/raw/data/train/Healthy/healthy_656.png,Healthy,Healthy,6
data/raw/data/train/Stem fly/stem_fly_117.png,Stem fly,Stem_fly,12
data/raw/data/train/Yellow Rust/yellow_rust_168.png,Yellow Rust,Yellow_Rust,14
data/raw/data/train/Aphid/aphid_294.png,Aphid,Aphid,0
data/raw/data/train/Smut/smut_1049.png,Smut,Smut,11
data/raw/data/train/Septoria/septoria_222.png,Septoria,Septoria,10
data/raw/data/train/Septoria/septoria_216.png,Septoria,Septoria,10
data/raw/data/train/Septoria/septoria_352.png,Septoria,Septoria,10
data/raw/data/train/Tan spot/tan_spot_614.png,Tan spot,Tan_spot,13
data/raw/data/train/Yellow Rust/yellow_rust_1273.png,Yellow Rust,Yellow_Rust,14
data/raw/data/train/Leaf Blight/leaf_blight_245.png,Leaf Blight,Leaf_Blight,7
data/raw/data/train/Black Rust/black_rust_360.png,Black Rust,Black_Rust,1
data/raw/data/train/Tan spot/tan_spot_161.png,Tan spot,Tan_spot,13
data/raw/data/train/Smut/smut_415.png,Smut,Smut,11
data/raw/data/train/Smut/smut_1081.png,Smut,Smut,11
data/raw/data/train/Tan spot/tan_spot_563.png,Tan spot,Tan_spot,13
data/raw/data/train/Septoria/septoria_541.png,Septoria,Septoria,10
data/raw/data/train/Septoria/septoria_66.png,Septoria,Septoria,10
data/raw/data/train/Fusarium Head Blight/fusarium_head_blight_98.png,Fusarium Head Blight,Fusarium_Head_Blight,5
data/raw/data/train/Septoria/septoria_1089.png,Septoria,Septoria,10
data/raw/data/train/Healthy/healthy_49.png,Healthy,Healthy,6
data/raw/data/train/Leaf Blight/leaf_blight_807.png,Leaf Blight,Leaf_Blight,7
data/raw/data/train/Brown Rust/brown_rust_1209.png,Brown Rust,Brown_Rust,3
data/raw/data/train/Blast/blast_473.png,Blast,Blast,2
data/raw/data/train/Yellow Rust/yellow_rust_356.png,Yellow Rust,Yellow_Rust,14
data/raw/data/train/Fusarium Head Blight/fusarium_head_blight_248.png,Fusarium Head Blight,Fusarium_Head_Blight,5
data/raw/data/train/Aphid/aphid_66.png,Aphid,Aphid,0
data/raw/data/train/Smut/smut_1257.png,Smut,Smut,11
data/raw/data/train/Black Rust/black_rust_85.png,Black Rust,Black_Rust,1
data/raw/data/train/Septoria/septoria_523.png,Septoria,Septoria,10
data/raw/data/train/Yellow Rust/yellow_rust_1219.png,Yellow Rust,Yellow_Rust,14
data/raw/data/train/Smut/smut_183.png,Smut,Smut,11
data/raw/data/train/Brown Rust/brown_rust_1192.png,Brown Rust,Brown_Rust,3
data/raw/data/train/Yellow Rust/yellow_rust_1197.png,Yellow Rust,Yellow_Rust,14
data/raw/data/train/Smut/smut_2.png,Smut,Smut,11
data/raw/data/train/Septoria/septoria_97.png,Septoria,Septoria,10
data/raw/data/train/Yellow Rust/yellow_rust_243.png,Yellow Rust,Yellow_Rust,14
data/raw/data/train/Smut/smut_1039.png,Smut,Smut,11
data/raw/data/train/Common Root Rot/common_root_rot_414.png,Common Root Rot,Common_Root_Rot,4
data/raw/data/train/Fusarium Head Blight/fusarium_head_blight_110.png,Fusarium Head Blight,Fusarium_Head_Blight,5
data/raw/data/train/Healthy/healthy_702.png,Healthy,Healthy,6
data/raw/data/train/Mite/mite_201.png,Mite,Mite,9
data/raw/data/train/Yellow Rust/yellow_rust_432.png,Yellow Rust,Yellow_Rust,14
data/raw/data/train/Septoria/septoria_110.png,Septoria,Septoria,10
data/raw/data/train/Mite/mite_702.png,Mite,Mite,9
data/raw/data/train/Mildew/mildew_238.png,Mildew,Mildew,8
data/raw/data/train/Blast/blast_522.png,Blast,Blast,2
data/raw/data/train/Leaf Blight/leaf_blight_51.png,Leaf Blight,Leaf_Blight,7
data/raw/data/train/Healthy/healthy_652.png,Healthy,Healthy,6
data/raw/data/train/Mite/mite_713.png,Mite,Mite,9
data/raw/data/train/Leaf Blight/leaf_blight_254.png,Leaf Blight,Leaf_Blight,7
data/raw/data/train/Mite/mite_729.png,Mite,Mite,9
data/raw/data/train/Brown Rust/brown_rust_23.png,Brown Rust,Brown_Rust,3
data/raw/data/train/Yellow Rust/yellow_rust_733.png,Yellow Rust,Yellow_Rust,14
data/raw/data/train/Leaf Blight/leaf_blight_175.png,Leaf Blight,Leaf_Blight,7
data/raw/data/train/Yellow Rust/yellow_rust_971.png,Yellow Rust,Yellow_Rust,14
data/raw/data/train/Mildew/mildew_14.png,Mildew,Mildew,8
data/raw/data/train/Leaf Blight/leaf_blight_15.png,Leaf Blight,Leaf_Blight,7
data/raw/data/train/Yellow Rust/yellow_rust_950.png,Yellow Rust,Yellow_Rust,14
data/raw/data/train/Healthy/healthy_581.png,Healthy,Healthy,6
data/raw/data/train/Fusarium Head Blight/fusarium_head_blight_408.png,Fusarium Head Blight,Fusarium_Head_Blight,5
data/raw/data/train/Healthy/healthy_94.png,Healthy,Healthy,6
data/raw/data/train/Brown Rust/brown_rust_475.png,Brown Rust,Brown_Rust,3
data/raw/data/train/Fusarium Head Blight/fusarium_head_blight_27.png,Fusarium Head Blight,Fusarium_Head_Blight,5
data/raw/data/train/Mildew/mildew_739.png,Mildew,Mildew,8
data/raw/data/train/Brown Rust/brown_rust_161.png,Brown Rust,Brown_Rust,3
data/raw/data/train/Brown Rust/brown_rust_1120.png,Brown Rust,Brown_Rust,3
data/raw/data/train/Tan spot/tan_spot_403.png,Tan spot,Tan_spot,13
data/raw/data/train/Yellow Rust/yellow_rust_848.png,Yellow Rust,Yellow_Rust,14
data/raw/data/train/Tan spot/tan_spot_4.png,Tan spot,Tan_spot,13
data/raw/data/train/Tan spot/tan_spot_74.png,Tan spot,Tan_spot,13
data/raw/data/train/Blast/blast_198.png,Blast,Blast,2
data/raw/data/train/Yellow Rust/yellow_rust_724.png,Yellow Rust,Yellow_Rust,14
data/raw/data/train/Smut/smut_1301.png,Smut,Smut,11
data/raw/data/train/Tan spot/tan_spot_243.png,Tan spot,Tan_spot,13
data/raw/data/train/Tan spot/tan_spot_83.png,Tan spot,Tan_spot,13
data/raw/data/train/Smut/smut_1048.png,Smut,Smut,11
data/raw/data/train/Black Rust/black_rust_346.png,Black Rust,Black_Rust,1
data/raw/data/train/Healthy/healthy_793.png,Healthy,Healthy,6
data/raw/data/train/Septoria/septoria_244.png,Septoria,Septoria,10
data/raw/data/train/Black Rust/black_rust_11.png,Black Rust,Black_Rust,1
data/raw/data/train/Septoria/septoria_2.png,Septoria,Septoria,10
data/raw/data/train/Yellow Rust/yellow_rust_80.png,Yellow Rust,Yellow_Rust,14
data/raw/data/train/Black Rust/black_rust_525.png,Black Rust,Black_Rust,1
data/raw/data/train/Blast/blast_93.png,Blast,Blast,2
data/raw/data/train/Mildew/mildew_990.png,Mildew,Mildew,8
data/raw/data/train/Mildew/mildew_251.png,Mildew,Mildew,8
data/raw/data/train/Mite/mite_326.png,Mite,Mite,9
data/raw/data/train/Tan spot/tan_spot_480.png,Tan spot,Tan_spot,13
data/raw/data/train/Aphid/aphid_338.png,Aphid,Aphid,0
data/raw/data/train/Smut/smut_13.png,Smut,Smut,11
data/raw/data/train/Fusarium Head Blight/fusarium_head_blight_534.png,Fusarium Head Blight,Fusarium_Head_Blight,5
data/raw/data/train/Smut/smut_1298.png,Smut,Smut,11
data/raw/data/train/Septoria/septoria_79.png,Septoria,Septoria,10
data/raw/data/train/Smut/smut_442.png,Smut,Smut,11
data/raw/data/train/Black Rust/black_rust_318.png,Black Rust,Black_Rust,1
data/raw/data/train/Stem fly/stem_fly_6.png,Stem fly,Stem_fly,12
data/raw/data/train/Aphid/aphid_179.png,Aphid,Aphid,0
data/raw/data/train/Healthy/healthy_692.png,Healthy,Healthy,6
data/raw/data/train/Fusarium Head Blight/fusarium_head_blight_211.png,Fusarium Head Blight,Fusarium_Head_Blight,5
data/raw/data/train/Smut/smut_1085.png,Smut,Smut,11
data/raw/data/train/Mite/mite_250.png,Mite,Mite,9
data/raw/data/train/Brown Rust/brown_rust_365.png,Brown Rust,Brown_Rust,3
data/raw/data/train/Brown Rust/brown_rust_41.png,Brown Rust,Brown_Rust,3
data/raw/data/train/Septoria/septoria_29.png,Septoria,Septoria,10
data/raw/data/train/Blast/blast_443.png,Blast,Blast,2
data/raw/data/train/Mildew/mildew_900.png,Mildew,Mildew,8
data/raw/data/train/Brown Rust/brown_rust_491.png,Brown Rust,Brown_Rust,3
data/raw/data/train/Mite/mite_701.png,Mite,Mite,9
data/raw/data/train/Septoria/septoria_154.png,Septoria,Septoria,10
data/raw/data/train/Septoria/septoria_460.png,Septoria,Septoria,10
data/raw/data/train/Smut/smut_1208.png,Smut,Smut,11
data/raw/data/train/Smut/smut_737.png,Smut,Smut,11
data/raw/data/train/Mildew/mildew_201.png,Mildew,Mildew,8
data/raw/data/train/Septoria/septoria_936.png,Septoria,Septoria,10
data/raw/data/train/Blast/blast_453.png,Blast,Blast,2
data/raw/data/train/Brown Rust/brown_rust_217.png,Brown Rust,Brown_Rust,3
data/raw/data/train/Brown Rust/brown_rust_662.png,Brown Rust,Brown_Rust,3
data/raw/data/train/Tan spot/tan_spot_534.png,Tan spot,Tan_spot,13
data/raw/data/train/Blast/blast_330.png,Blast,Blast,2
data/raw/data/train/Blast/blast_491.png,Blast,Blast,2
data/raw/data/train/Brown Rust/brown_rust_1175.png,Brown Rust,Brown_Rust,3
data/raw/data/train/Mite/mite_104.png,Mite,Mite,9
data/raw/data/train/Healthy/healthy_673.png,Healthy,Healthy,6
data/raw/data/train/Smut/smut_723.png,Smut,Smut,11
data/raw/data/train/Yellow Rust/yellow_rust_363.png,Yellow Rust,Yellow_Rust,14
data/raw/data/train/Tan spot/tan_spot_657.png,Tan spot,Tan_spot,13
data/raw/data/train/Healthy/healthy_144.png,Healthy,Healthy,6
data/raw/data/train/Mite/mite_523.png,Mite,Mite,9
data/raw/data/train/Yellow Rust/yellow_rust_549.png,Yellow Rust,Yellow_Rust,14
data/raw/data/train/Common Root Rot/common_root_rot_38.png,Common Root Rot,Common_Root_Rot,4
data/raw/data/train/Yellow Rust/yellow_rust_472.png,Yellow Rust,Yellow_Rust,14
data/raw/data/train/Healthy/healthy_282.png,Healthy,Healthy,6
data/raw/data/train/Brown Rust/brown_rust_1246.png,Brown Rust,Brown_Rust,3
data/raw/data/train/Leaf Blight/leaf_blight_552.png,Leaf Blight,Leaf_Blight,7
data/raw/data/train/Smut/smut_508.png,Smut,Smut,11
data/raw/data/train/Stem fly/stem_fly_154.png,Stem fly,Stem_fly,12
data/raw/data/train/Healthy/healthy_351.png,Healthy,Healthy,6
data/raw/data/train/Blast/blast_230.png,Blast,Blast,2
data/raw/data/train/Yellow Rust/yellow_rust_906.png,Yellow Rust,Yellow_Rust,14
data/raw/data/train/Common Root Rot/common_root_rot_67.png,Common Root Rot,Common_Root_Rot,4
data/raw/data/train/Healthy/healthy_373.png,Healthy,Healthy,6
data/raw/data/train/Tan spot/tan_spot_333.png,Tan spot,Tan_spot,13
data/raw/data/train/Aphid/aphid_241.png,Aphid,Aphid,0
data/raw/data/train/Mite/mite_438.png,Mite,Mite,9
data/raw/data/train/Brown Rust/brown_rust_191.png,Brown Rust,Brown_Rust,3
data/raw/data/train/Yellow Rust/yellow_rust_187.png,Yellow Rust,Yellow_Rust,14
data/raw/data/train/Smut/smut_75.png,Smut,Smut,11
data/raw/data/train/Mite/mite_166.png,Mite,Mite,9
data/raw/data/train/Leaf Blight/leaf_blight_488.png,Leaf Blight,Leaf_Blight,7
data/raw/data/train/Yellow Rust/yellow_rust_974.png,Yellow Rust,Yellow_Rust,14
data/raw/data/train/Mite/mite_425.png,Mite,Mite,9
data/raw/data/train/Mite/mite_492.png,Mite,Mite,9
data/raw/data/train/Septoria/septoria_867.png,Septoria,Septoria,10
data/raw/data/train/Healthy/healthy_836.png,Healthy,Healthy,6
data/raw/data/train/Leaf Blight/leaf_blight_187.png,Leaf Blight,Leaf_Blight,7
data/raw/data/train/Aphid/aphid_308.png,Aphid,Aphid,0
data/raw/data/train/Aphid/aphid_168.png,Aphid,Aphid,0
data/raw/data/train/Stem fly/stem_fly_120.png,Stem fly,Stem_fly,12
data/raw/data/train/Mildew/mildew_11.png,Mildew,Mildew,8
data/raw/data/train/Healthy/healthy_618.png,Healthy,Healthy,6
data/raw/data/train/Septoria/septoria_709.png,Septoria,Septoria,10
data/raw/data/train/Smut/smut_499.png,Smut,Smut,11
data/raw/data/train/Leaf Blight/leaf_blight_754.png,Leaf Blight,Leaf_Blight,7
data/raw/data/train/Septoria/septoria_342.png,Septoria,Septoria,10
data/raw/data/train/Stem fly/stem_fly_47.png,Stem fly,Stem_fly,12
data/raw/data/train/Septoria/septoria_577.png,Septoria,Septoria,10
data/raw/data/train/Healthy/healthy_925.png,Healthy,Healthy,6
data/raw/data/train/Yellow Rust/yellow_rust_254.png,Yellow Rust,Yellow_Rust,14
data/raw/data/train/Blast/blast_253.png,Blast,Blast,2
data/raw/data/train/Black Rust/black_rust_516.png,Black Rust,Black_Rust,1
data/raw/data/train/Yellow Rust/yellow_rust_719.png,Yellow Rust,Yellow_Rust,14
data/raw/data/train/Leaf Blight/leaf_blight_252.png,Leaf Blight,Leaf_Blight,7
data/raw/data/train/Mildew/mildew_97.png,Mildew,Mildew,8
data/raw/data/train/Common Root Rot/common_root_rot_426.png,Common Root Rot,Common_Root_Rot,4
data/raw/data/train/Mildew/mildew_1054.png,Mildew,Mildew,8
data/raw/data/train/Blast/blast_462.png,Blast,Blast,2
data/raw/data/train/Healthy/healthy_315.png,Healthy,Healthy,6
data/raw/data/train/Leaf Blight/leaf_blight_234.png,Leaf Blight,Leaf_Blight,7
data/raw/data/train/Yellow Rust/yellow_rust_1202.png,Yellow Rust,Yellow_Rust,14
data/raw/data/train/Yellow Rust/yellow_rust_1176.png,Yellow Rust,Yellow_Rust,14
data/raw/data/train/Aphid/aphid_266.png,Aphid,Aphid,0
data/raw/data/train/Common Root Rot/common_root_rot_125.png,Common Root Rot,Common_Root_Rot,4
data/raw/data/train/Fusarium Head Blight/fusarium_head_blight_121.png,Fusarium Head Blight,Fusarium_Head_Blight,5
data/raw/data/train/Leaf Blight/leaf_blight_22.png,Leaf Blight,Leaf_Blight,7
data/raw/data/train/Fusarium Head Blight/fusarium_head_blight_149.png,Fusarium Head Blight,Fusarium_Head_Blight,5
data/raw/data/train/Brown Rust/brown_rust_702.png,Brown Rust,Brown_Rust,3
data/raw/data/train/Mite/mite_345.png,Mite,Mite,9
data/raw/data/train/Brown Rust/brown_rust_989.png,Brown Rust,Brown_Rust,3
data/raw/data/train/Brown Rust/brown_rust_1085.png,Brown Rust,Brown_Rust,3
data/raw/data/train/Yellow Rust/yellow_rust_380.png,Yellow Rust,Yellow_Rust,14
data/raw/data/train/Tan spot/tan_spot_39.png,Tan spot,Tan_spot,13
data/raw/data/train/Mildew/mildew_705.png,Mildew,Mildew,8
data/raw/data/train/Blast/blast_379.png,Blast,Blast,2
data/raw/data/train/Blast/blast_283.png,Blast,Blast,2
data/raw/data/train/Aphid/aphid_544.png,Aphid,Aphid,0
data/raw/data/train/Blast/blast_448.png,Blast,Blast,2
data/raw/data/train/Tan spot/tan_spot_368.png,Tan spot,Tan_spot,13
data/raw/data/train/Aphid/aphid_285.png,Aphid,Aphid,0
data/raw/data/train/Brown Rust/brown_rust_677.png,Brown Rust,Brown_Rust,3
data/raw/data/train/Aphid/aphid_842.png,Aphid,Aphid,0
data/raw/data/train/Septoria/septoria_944.png,Septoria,Septoria,10
data/raw/data/train/Smut/smut_118.png,Smut,Smut,11
data/raw/data/train/Septoria/septoria_13.png,Septoria,Septoria,10
data/raw/data/train/Yellow Rust/yellow_rust_490.png,Yellow Rust,Yellow_Rust,14
data/raw/data/train/Brown Rust/brown_rust_27.png,Brown Rust,Brown_Rust,3
data/raw/data/train/Common Root Rot/common_root_rot_580.png,Common Root Rot,Common_Root_Rot,4
data/raw/data/train/Black Rust/black_rust_195.png,Black Rust,Black_Rust,1
data/raw/data/train/Mite/mite_153.png,Mite,Mite,9
data/raw/data/train/Blast/blast_345.png,Blast,Blast,2
data/raw/data/train/Mite/mite_576.png,Mite,Mite,9
data/raw/data/train/Smut/smut_1189.png,Smut,Smut,11
data/raw/data/train/Blast/blast_351.png,Blast,Blast,2
data/raw/data/train/Mite/mite_346.png,Mite,Mite,9
data/raw/data/train/Common Root Rot/common_root_rot_419.png,Common Root Rot,Common_Root_Rot,4
data/raw/data/train/Black Rust/black_rust_501.png,Black Rust,Black_Rust,1
data/raw/data/train/Smut/smut_1074.png,Smut,Smut,11
data/raw/data/train/Mite/mite_774.png,Mite,Mite,9
data/raw/data/train/Septoria/septoria_1042.png,Septoria,Septoria,10
data/raw/data/train/Fusarium Head Blight/fusarium_head_blight_23.png,Fusarium Head Blight,Fusarium_Head_Blight,5
data/raw/data/train/Septoria/septoria_1108.png,Septoria,Septoria,10
data/raw/data/train/Aphid/aphid_261.png,Aphid,Aphid,0
data/raw/data/train/Common Root Rot/common_root_rot_521.png,Common Root Rot,Common_Root_Rot,4
data/raw/data/train/Healthy/healthy_832.png,Healthy,Healthy,6
data/raw/data/train/Mite/mite_494.png,Mite,Mite,9
data/raw/data/train/Mildew/mildew_266.png,Mildew,Mildew,8
data/raw/data/train/Tan spot/tan_spot_314.png,Tan spot,Tan_spot,13
data/raw/data/train/Leaf Blight/leaf_blight_444.png,Leaf Blight,Leaf_Blight,7
data/raw/data/train/Leaf Blight/leaf_blight_615.png,Leaf Blight,Leaf_Blight,7
data/raw/data/train/Mite/mite_694.png,Mite,Mite,9
data/raw/data/train/Stem fly/stem_fly_141.png,Stem fly,Stem_fly,12
data/raw/data/train/Healthy/healthy_555.png,Healthy,Healthy,6
